                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.68692,                 1.2025,                0.89563,                 0.9768,                0.42723,                0.39801,                0.37774,                0.28866,                0.43533,                0.39123,                0.37684,                0.27424,                0.89878,                 1.7406,                  1.525,                 1.1459,              0.0002015,              0.0002015,              0.0002015
                     25,                 0.6654,                 1.1789,                0.86544,                0.95979,                 0.4719,                0.37381,                0.39745,                0.31122,                0.45423,                0.38096,                0.39322,                0.29518,                0.87143,                 1.6873,                  1.501,                 1.1361,             0.00019418,             0.00019418,             0.00019418
                     26,                0.65993,                 1.1542,                0.85593,                0.96074,                 0.4485,                0.41871,                0.39042,                0.30041,                0.46473,                 0.4091,                0.39004,                0.29038,                0.89189,                 1.6899,                 1.5718,                 1.1415,             0.00018685,             0.00018685,             0.00018685
                     27,                0.65189,                 1.1394,                0.84593,                0.95911,                0.45241,                0.39211,                0.39097,                0.30017,                0.45599,                 0.3926,                0.39163,                0.29138,                0.89576,                 1.7259,                  1.543,                 1.1549,             0.00017952,             0.00017952,             0.00017952
                     28,                0.64547,                 1.1318,                 0.8224,                0.95621,                0.49277,                0.37707,                0.38234,                0.28706,                0.49202,                0.37702,                0.37959,                0.27598,                0.88381,                  1.787,                 1.5239,                 1.1485,              0.0001722,              0.0001722,              0.0001722
                     29,                0.63363,                  1.119,                0.79723,                0.94803,                0.42329,                 0.4061,                0.37543,                0.28759,                0.42688,                0.41143,                0.37453,                0.27431,                0.91796,                 1.7157,                  1.546,                 1.1658,             0.00016487,             0.00016487,             0.00016487
                     30,                0.62972,                 1.1078,                0.77565,                0.94654,                 0.4543,                0.41202,                0.38075,                0.28877,                 0.4565,                0.41417,                0.37999,                0.27942,                0.87941,                 1.6635,                 1.5579,                 1.1431,             0.00015755,             0.00015755,             0.00015755
                     31,                0.62018,                  1.094,                0.74466,                0.93968,                0.43435,                0.40971,                0.38265,                0.29836,                0.44384,                0.40719,                0.38444,                0.28503,                0.88952,                 1.7105,                 1.6173,                 1.1372,             0.00015022,             0.00015022,             0.00015022
                     32,                0.61857,                 1.0969,                0.74552,                0.93931,                0.47282,                0.38817,                0.38481,                0.30095,                0.47463,                0.39038,                0.38355,                0.28533,                0.88287,                 1.7072,                 1.5614,                 1.1201,             0.00014289,             0.00014289,             0.00014289
                     33,                0.61518,                 1.0767,                0.71277,                0.94128,                0.39852,                  0.416,                0.36788,                0.28543,                0.40394,                0.41797,                0.37036,                0.27185,                0.87846,                 1.7701,                 1.5852,                 1.1345,             0.00013557,             0.00013557,             0.00013557
                     34,                0.60154,                 1.0583,                0.71392,                0.93524,                 0.4243,                0.41599,                0.37863,                0.29158,                0.42662,                0.42111,                0.37984,                0.28171,                0.87885,                 1.6734,                 1.5565,                 1.1348,             0.00012824,             0.00012824,             0.00012824
                     35,                0.59785,                 1.0508,                0.68956,                0.93042,                0.46648,                0.41459,                 0.4002,                0.30672,                0.48536,                0.40995,                0.39824,                0.29683,                0.88237,                 1.6789,                  1.537,                 1.1443,             0.00012092,             0.00012092,             0.00012092
                     36,                0.59241,                 1.0451,                0.67783,                0.92713,                0.48305,                0.39872,                0.39754,                0.30903,                0.48466,                 0.3997,                0.39555,                0.29756,                0.85833,                 1.7386,                 1.6017,                  1.123,             0.00011359,             0.00011359,             0.00011359
                     37,                0.58961,                 1.0473,                0.65543,                0.92283,                0.45411,                0.41706,                0.40027,                 0.3128,                0.45426,                0.41568,                0.39735,                0.30132,                0.85608,                 1.6986,                 1.5371,                 1.1286,             0.00010626,             0.00010626,             0.00010626
                     38,                0.57947,                 1.0224,                0.65404,                0.91781,                0.44391,                 0.3913,                0.38969,                0.30573,                0.44002,                 0.3915,                0.38883,                0.29717,                0.85846,                 1.6617,                 1.5521,                 1.1318,             9.8938e-05,             9.8938e-05,             9.8938e-05
                     39,                0.57098,                 1.0102,                0.62953,                0.91488,                0.49186,                0.39259,                0.40158,                0.31553,                0.49634,                0.39189,                0.40497,                 0.3029,                0.86401,                 1.6744,                 1.5253,                 1.1251,             9.1612e-05,             9.1612e-05,             9.1612e-05
                     40,                0.56976,                 1.0072,                0.62138,                0.91588,                0.54692,                0.36587,                0.40648,                0.31781,                0.55215,                0.36821,                0.40777,                0.30439,                 0.8591,                 1.6974,                 1.5372,                 1.1345,             8.4286e-05,             8.4286e-05,             8.4286e-05
                     41,                 0.5891,                0.98632,                0.56863,                0.93054,                 0.4824,                0.41402,                0.40226,                 0.3149,                0.48529,                0.41406,                0.40266,                0.29798,                0.86217,                  1.721,                 1.5448,                 1.1338,              7.696e-05,              7.696e-05,              7.696e-05
                     42,                0.56447,                0.95092,                0.51766,                0.91777,                0.46951,                0.43059,                0.41062,                0.32194,                 0.4765,                0.44073,                0.41212,                0.30531,                0.85556,                 1.6974,                 1.5605,                 1.1171,             6.9634e-05,             6.9634e-05,             6.9634e-05
                     43,                0.55757,                0.95248,                0.50602,                0.91478,                0.53588,                0.39749,                0.41483,                0.32091,                0.53998,                0.40114,                0.41814,                0.30931,                0.88835,                 1.7263,                 1.5372,                  1.159,             6.2308e-05,             6.2308e-05,             6.2308e-05
                     44,                0.55223,                0.92611,                0.49462,                0.91089,                0.49284,                0.41843,                0.41452,                0.32602,                0.49887,                0.41927,                0.41892,                0.31454,                0.88118,                 1.7366,                 1.5495,                 1.1506,             5.4982e-05,             5.4982e-05,             5.4982e-05
                     45,                0.53937,                0.92312,                0.47593,                0.90671,                0.50979,                0.41487,                0.40311,                0.31309,                0.49266,                0.42174,                0.40349,                0.30385,                0.86832,                 1.7246,                 1.5583,                 1.1366,             4.7656e-05,             4.7656e-05,             4.7656e-05
                     46,                0.52931,                0.91726,                0.46823,                0.90464,                0.45489,                0.43957,                0.40968,                0.32396,                0.45362,                0.43624,                0.40929,                0.30749,                0.85744,                 1.7334,                 1.5649,                 1.1172,              4.033e-05,              4.033e-05,              4.033e-05
                     47,                0.53591,                0.90281,                0.46506,                0.90626,                0.46816,                0.41287,                0.40339,                0.31735,                0.46669,                0.41176,                0.40286,                0.30258,                0.84606,                 1.7338,                 1.5723,                 1.1126,             3.3004e-05,             3.3004e-05,             3.3004e-05
                     48,                0.52102,                0.89465,                0.44269,                 0.8972,                0.46647,                0.42014,                0.41149,                0.32218,                0.46696,                0.41887,                0.41168,                  0.311,                0.86015,                 1.7617,                 1.5789,                 1.1339,             2.5678e-05,             2.5678e-05,             2.5678e-05
                     49,                 0.5171,                0.88867,                0.44112,                0.89234,                0.48538,                0.41733,                0.40769,                0.31867,                0.48602,                0.41572,                0.40825,                0.30434,                0.85657,                 1.7538,                 1.5787,                 1.1251,             1.8352e-05,             1.8352e-05,             1.8352e-05
                     50,                0.51596,                0.87512,                0.43068,                0.89527,                0.53139,                0.38656,                0.41169,                  0.324,                0.53457,                0.38675,                0.41166,                0.30966,                0.85503,                 1.7755,                 1.5905,                 1.1308,             1.1026e-05,             1.1026e-05,             1.1026e-05
